Epoch;accuracy;precision;sensitivity;specifity;f1score
0;0,9690200000000001;0,8511130775053344;0,84308688316582;0,982784852186706;0,8439501326008759
1;0,9731000000000002;0,8664086877863155;0,8646220855102518;0,9850560148145628;0,8647218078238941
2;0,9754400000000001;0,8796751890254676;0,8757315542275919;0,9863418747357876;0,8760954499503976
3;0,97796;0,8904329364083914;0,8884671555101725;0,9877535229982598;0,8887100263236976
4;0,97942;0,899314935201955;0,8961456774904427;0,9885563239675292;0,8967795560705433
5;0,9804999999999999;0,9023675021748987;0,9020802839974152;0,9891665983944066;0,9018297559627125
6;0,9808999999999999;0,9062395846155752;0,9041242384687285;0,9893871557277205;0,9043090899853858
7;0,9804600000000001;0,9017565060210636;0,901510875709382;0,98914604317259;0,9013446331909147
8;0,98174;0,9086076656706285;0,9082187988330966;0,9898555419540467;0,9080249763296694
9;0,9812199999999999;0,907466408846123;0,9052808535564244;0,9895569824837052;0,9057777390001794
